id,lon,lat,taxonomy,number,night,structural,ADM2,ADM3,ADM4,desaID,use
APART_16,106.626,-6.146,CR_LFINF-DUH_H:8,1,1634.16,8616567.17,Kota Tangerang,Neglasari,Neglasari,Kota Tangerang_Neglasari_Neglasari,residential
APART_17,106.626,-6.146,CR_LFINF-DUH_H:8,1,899.66,4743695.22,Kota Tangerang,Neglasari,Neglasari,Kota Tangerang_Neglasari_Neglasari,residential
APART_18,106.626,-6.146,CR_LFINF-DUH_H:8,2,2594.67,13681092.02,Kota Tangerang,Neglasari,Neglasari,Kota Tangerang_Neglasari_Neglasari,residential
APART_19,106.626,-6.146,CR_LFINF-DUH_H:8,2,2281.74,12031111.07,Kota Tangerang,Neglasari,Neglasari,Kota Tangerang_Neglasari_Neglasari,residential
APART_39,106.734,-6.26,CR_LDUAL-DUH_H:12,1,891.09,7027695.05,Kota Tangerang Selatan,Pondok Aren,Jurang Manggu Timur,Kota Tangerang Selatan_Pondok Aren_Jurang Manggu Timur,residential
APART_40,106.72,-6.275,CR_LDUAL-DUH_H:12,1,959.34,7027695.05,Kota Tangerang Selatan,Pondok Aren,Pondok Jaya,Kota Tangerang Selatan_Pondok Aren_Pondok Jaya,residential
APART_41,106.72,-6.275,CR_LDUAL-DUH_H:12,1,959.34,7027695.05,Kota Tangerang Selatan,Pondok Aren,Pondok Jaya,Kota Tangerang Selatan_Pondok Aren_Pondok Jaya,residential
APART_54,106.638,-6.157,CR_LDUAL-DUH_H:13,1,1377.97,9003519.22,Kota Tangerang,Neglasari,Karang Sari,Kota Tangerang_Neglasari_Karang Sari,residential
APART_55,106.684,-6.294,CR_LDUAL-DUH_H:13,1,2099.43,16029249.18,Kota Tangerang Selatan,Serpong,Lengkong Gudang Timur,Kota Tangerang Selatan_Serpong_Lengkong Gudang Timur,residential
APART_99,106.616,-6.236,CR_LDUAL-DUH_H:18,1,2511.93,77908870.23,Tangerang,Kelapa Dua,Kelapa Dua,Tangerang_Kelapa Dua_Kelapa Dua,residential
APART_171,106.718,-6.202,CR_LDUAL-DUH_H:21,1,4390.69,60833637.32,Kota Tangerang,Karang Tengah,Karang Mulya,Kota Tangerang_Karang Tengah_Karang Mulya,residential
APART_207,106.712,-6.314,CR_LDUAL-DUH_H:23,1,2082.19,34400251.74,Kota Tangerang Selatan,Ciputat,Sarua,Kota Tangerang Selatan_Ciputat_Sarua,residential
APART_208,106.712,-6.314,CR_LDUAL-DUH_H:23,1,4093.26,48303958.8,Kota Tangerang Selatan,Ciputat,Sarua,Kota Tangerang Selatan_Ciputat_Sarua,residential
APART_209,106.651,-6.31,CR_LDUAL-DUH_H:23,1,6823.28,82882225.43,Tangerang,Cisauk,Sampora,Tangerang_Cisauk_Sampora,residential
