id,lon,lat,taxonomy,number,night,structural,ADM2,ADM3,ADM4,desaID,use
APART_210,106.598,-6.234,CR_LDUAL-DUH_H:23,1,3090.68,81846197.61,Tangerang,Kelapa Dua,Bencongan,Tangerang_Kelapa Dua_Bencongan,residential
APART_226,106.611,-6.19,CR_LDUAL-DUH_H:24,1,3088.02,33622296.94,Kota Tangerang,Karawaci,Cimone,Kota Tangerang_Karawaci_Cimone,residential
APART_227,106.641,-6.2,CR_LDUAL-DUH_H:24,1,1839.88,60763187.25,Kota Tangerang,Tangerang,Kelapa Indah,Kota Tangerang_Tangerang_Kelapa Indah,residential
APART_228,106.641,-6.2,CR_LDUAL-DUH_H:24,1,1839.88,60763187.25,Kota Tangerang,Tangerang,Kelapa Indah,Kota Tangerang_Tangerang_Kelapa Indah,residential
APART_229,106.641,-6.2,CR_LDUAL-DUH_H:24,1,1839.88,60763187.25,Kota Tangerang,Tangerang,Kelapa Indah,Kota Tangerang_Tangerang_Kelapa Indah,residential
APART_230,106.641,-6.2,CR_LDUAL-DUH_H:24,1,1839.88,60763187.25,Kota Tangerang,Tangerang,Kelapa Indah,Kota Tangerang_Tangerang_Kelapa Indah,residential
APART_257,106.666,-6.308,CR_LDUAL-DUH_H:25,1,2321.14,85665799.11,Kota Tangerang Selatan,Serpong,Cilenggang,Kota Tangerang Selatan_Serpong_Cilenggang,residential
APART_258,106.651,-6.31,CR_LDUAL-DUH_H:25,1,426.46,13153077.02,Tangerang,Cisauk,Sampora,Tangerang_Cisauk_Sampora,residential
APART_259,106.651,-6.31,CR_LDUAL-DUH_H:25,1,426.46,13153077.02,Tangerang,Cisauk,Sampora,Tangerang_Cisauk_Sampora,residential
APART_260,106.633,-6.238,CR_LDUAL-DUH_H:25,1,408.9,13153077.02,Tangerang,Kelapa Dua,Pakulonan Barat,Tangerang_Kelapa Dua_Pakulonan Barat,residential
APART_261,106.633,-6.238,CR_LDUAL-DUH_H:25,1,408.9,13153077.02,Tangerang,Kelapa Dua,Pakulonan Barat,Tangerang_Kelapa Dua_Pakulonan Barat,residential
APART_262,106.633,-6.238,CR_LDUAL-DUH_H:25,1,408.9,13153077.02,Tangerang,Kelapa Dua,Pakulonan Barat,Tangerang_Kelapa Dua_Pakulonan Barat,residential
APART_263,106.633,-6.238,CR_LDUAL-DUH_H:25,1,408.9,13153077.02,Tangerang,Kelapa Dua,Pakulonan Barat,Tangerang_Kelapa Dua_Pakulonan Barat,residential
APART_264,106.633,-6.238,CR_LDUAL-DUH_H:25,1,408.9,13153077.02,Tangerang,Kelapa Dua,Pakulonan Barat,Tangerang_Kelapa Dua_Pakulonan Barat,residential
APART_265,106.633,-6.238,CR_LDUAL-DUH_H:25,1,408.9,13153077.02,Tangerang,Kelapa Dua,Pakulonan Barat,Tangerang_Kelapa Dua_Pakulonan Barat,residential
APART_293,106.637,-6.191,CR_LDUAL-DUH_H:26,1,3780.48,52377515.16,Kota Tangerang,Tangerang,Babakan,Kota Tangerang_Tangerang_Babakan,residential
APART_294,106.69,-6.308,CR_LDUAL-DUH_H:26,1,2815.49,50090965.75,Kota Tangerang Selatan,Serpong,Rawa Mekar Jaya,Kota Tangerang Selatan_Serpong_Rawa Mekar Jaya,residential
APART_318,106.633,-6.238,CR_LDUAL-DUH_H:28,1,408.9,13428788.87,Tangerang,Kelapa Dua,Pakulonan Barat,Tangerang_Kelapa Dua_Pakulonan Barat,residential
APART_319,106.633,-6.238,CR_LDUAL-DUH_H:28,1,408.9,13428788.87,Tangerang,Kelapa Dua,Pakulonan Barat,Tangerang_Kelapa Dua_Pakulonan Barat,residential
APART_320,106.633,-6.238,CR_LDUAL-DUH_H:28,1,408.9,13428788.87,Tangerang,Kelapa Dua,Pakulonan Barat,Tangerang_Kelapa Dua_Pakulonan Barat,residential
APART_321,106.633,-6.238,CR_LDUAL-DUH_H:28,1,408.9,13428788.87,Tangerang,Kelapa Dua,Pakulonan Barat,Tangerang_Kelapa Dua_Pakulonan Barat,residential
APART_322,106.633,-6.238,CR_LDUAL-DUH_H:28,1,408.9,13428788.87,Tangerang,Kelapa Dua,Pakulonan Barat,Tangerang_Kelapa Dua_Pakulonan Barat,residential
APART_344,106.655,-6.222,CR_LDUAL-DUH_H:30,1,412.21,12650820.1,Kota Tangerang,Pinang,Panunggangan Timur,Kota Tangerang_Pinang_Panunggangan Timur,residential
APART_345,106.655,-6.222,CR_LDUAL-DUH_H:30,2,618.32,18976230.15,Kota Tangerang,Pinang,Panunggangan Timur,Kota Tangerang_Pinang_Panunggangan Timur,residential
APART_346,106.72,-6.275,CR_LDUAL-DUH_H:30,1,2398.36,88077417.66,Kota Tangerang Selatan,Pondok Aren,Pondok Jaya,Kota Tangerang Selatan_Pondok Aren_Pondok Jaya,residential
APART_347,106.69,-6.308,CR_LDUAL-DUH_H:30,1,4692.48,61164873.38,Kota Tangerang Selatan,Serpong,Rawa Mekar Jaya,Kota Tangerang Selatan_Serpong_Rawa Mekar Jaya,residential
APART_348,106.598,-6.234,CR_LDUAL-DUH_H:30,1,704.21,24463750.16,Tangerang,Kelapa Dua,Bencongan,Tangerang_Kelapa Dua_Bencongan,residential
APART_386,106.694,-6.323,CR_LDUAL-DUH_H:31,1,1361.14,50356003.81,Kota Tangerang Selatan,Serpong,Ciater,Kota Tangerang Selatan_Serpong_Ciater,residential
APART_423,106.655,-6.222,CR_LDUAL-DUH_H:34,1,206.11,6465052.16,Kota Tangerang,Pinang,Panunggangan Timur,Kota Tangerang_Pinang_Panunggangan Timur,residential
APART_424,106.637,-6.191,CR_LDUAL-DUH_H:34,1,2824.97,29308236.45,Kota Tangerang,Tangerang,Babakan,Kota Tangerang_Tangerang_Babakan,residential
APART_432,106.651,-6.31,CR_LDUAL-DUH_H:35,1,426.46,13963994.23,Tangerang,Cisauk,Sampora,Tangerang_Cisauk_Sampora,residential
APART_459,106.684,-6.294,CR_LDUAL-DUH_H:38,1,2388.74,93438263.35,Kota Tangerang Selatan,Serpong,Lengkong Gudang Timur,Kota Tangerang Selatan_Serpong_Lengkong Gudang Timur,residential
APART_460,106.684,-6.294,CR_LDUAL-DUH_H:38,1,2388.74,93438263.35,Kota Tangerang Selatan,Serpong,Lengkong Gudang Timur,Kota Tangerang Selatan_Serpong_Lengkong Gudang Timur,residential
APART_466,106.641,-6.225,CR_LDUAL-DUH_H:39,2,358.46,13239581.42,Kota Tangerang,Pinang,Panunggangan,Kota Tangerang_Pinang_Panunggangan,residential
APART_476,106.634,-6.298,CR_LDUAL-DUH_H:40,3,2839.1,43450046.56,Tangerang,Pagedangan,Pagedangan,Tangerang_Pagedangan_Pagedangan,residential
APART_487,106.598,-6.234,CR_LDUAL-DUH_H:41,1,3208.05,78375688.23,Tangerang,Kelapa Dua,Bencongan,Tangerang_Kelapa Dua_Bencongan,residential
APART_488,106.616,-6.236,CR_LDUAL-DUH_H:41,1,2854.82,76647599.88,Tangerang,Kelapa Dua,Kelapa Dua,Tangerang_Kelapa Dua_Kelapa Dua,residential
APART_489,106.616,-6.236,CR_LDUAL-DUH_H:41,1,3269.49,78375688.23,Tangerang,Kelapa Dua,Kelapa Dua,Tangerang_Kelapa Dua_Kelapa Dua,residential
APART_541,106.616,-6.236,CR_LDUAL-DUH_H:52,1,3628.34,100996688.5,Tangerang,Kelapa Dua,Kelapa Dua,Tangerang_Kelapa Dua_Kelapa Dua,residential
APART_548,106.598,-6.234,CR_LDUAL-DUH_H:59,1,4616.46,118589612.9,Tangerang,Kelapa Dua,Bencongan,Tangerang_Kelapa Dua_Bencongan,residential
APART_20,110.375,-7.78,CR_LFINF-DUH_H:8,1,643.24,5144269.15,Kota Yogyakarta,Gondokusuman,Terban,Kota Yogyakarta_Gondokusuman_Terban,residential
APART_23,110.396,-7.774,CR_LDUAL-DUH_H:10,1,1323.45,13835802.18,Sleman,Depok,Catur Tunggal,Sleman_Depok_Catur Tunggal,residential
APART_24,110.396,-7.774,CR_LDUAL-DUH_H:10,2,240.79,2517347.34,Sleman,Depok,Catur Tunggal,Sleman_Depok_Catur Tunggal,residential
APART_25,110.396,-7.774,CR_LDUAL-DUH_H:10,1,220.57,2305967.03,Sleman,Depok,Catur Tunggal,Sleman_Depok_Catur Tunggal,residential
APART_26,110.396,-7.774,CR_LDUAL-DUH_H:10,1,1038.54,10857261.43,Sleman,Depok,Catur Tunggal,Sleman_Depok_Catur Tunggal,residential
APART_42,110.379,-7.73,CR_LDUAL-DUH_H:12,2,458.48,2660778.32,Sleman,Ngaglik,Sari Harjo,Sleman_Ngaglik_Sari Harjo,residential
APART_43,110.4,-7.727,CR_LDUAL-DUH_H:12,1,1772.17,10703357.31,Sleman,Ngaglik,Sinduharjo,Sleman_Ngaglik_Sinduharjo,residential
APART_58,110.396,-7.774,CR_LDUAL-DUH_H:14,1,992.59,11248725.14,Sleman,Depok,Catur Tunggal,Sleman_Depok_Catur Tunggal,residential
APART_59,110.367,-7.759,CR_LDUAL-DUH_H:14,1,3548.52,29579980.93,Sleman,Mlati,Sinduadi,Sleman_Mlati_Sinduadi,residential
APART_60,110.367,-7.759,CR_LDUAL-DUH_H:14,1,2246.56,18727044.26,Sleman,Mlati,Sinduadi,Sleman_Mlati_Sinduadi,residential
APART_65,110.379,-7.73,CR_LDUAL-DUH_H:15,1,1871.84,15960080.85,Sleman,Ngaglik,Sari Harjo,Sleman_Ngaglik_Sari Harjo,residential
APART_79,110.396,-7.774,CR_LDUAL-DUH_H:16,1,1029.35,50085634.65,Sleman,Depok,Catur Tunggal,Sleman_Depok_Catur Tunggal,residential
APART_1,106.724,-6.139,CR_LFINF-DUH_H:2,14,32.65,153026.22,Kota Jakarta Barat,Cengkareng,Cengkareng Barat,Kota Jakarta Barat_Cengkareng_Cengkareng Barat,residential
APART_2,106.903,-6.294,CR_LFINF-DUH_H:2,15,32.55,153026.22,Kota Jakarta Timur,Cipayung,Lubang Buaya,Kota Jakarta Timur_Cipayung_Lubang Buaya,residential
APART_3,106.895,-6.348,CR_LFINF-DUH_H:2,13,32.08,153026.22,Kota Jakarta Timur,Cipayung,Munjul,Kota Jakarta Timur_Cipayung_Munjul,residential
APART_4,106.864,-6.263,CR_LFINF-DUH_H:2,9,31.83,153026.22,Kota Jakarta Timur,Kramat Jati,Cililitan,Kota Jakarta Timur_Kramat Jati_Cililitan,residential
APART_5,106.703,-6.166,CR_LFINF-DUH_H:3,6,14.93,78618.97,Kota Jakarta Barat,Kali Deres,Semanan,Kota Jakarta Barat_Kali Deres_Semanan,residential
APART_6,106.818,-6.263,CR_LFINF-DUH_H:3,1,83.5,432404.36,Kota Jakarta Selatan,Mampang Prapatan,Bangka,Kota Jakarta Selatan_Mampang Prapatan_Bangka,residential
APART_7,106.824,-6.164,CR_LFINF-DUH_H:4,1,347.75,1912125.76,Kota Jakarta Pusat,Gambir,Kebon Kelapa,Kota Jakarta Pusat_Gambir_Kebon Kelapa,residential
APART_8,106.805,-6.234,CR_LFINF-DUH_H:4,1,17.08,79671.91,Kota Jakarta Selatan,Kebayoran Baru,Selong,Kota Jakarta Selatan_Kebayoran Baru_Selong,residential
APART_9,106.805,-6.234,CR_LFINF-DUH_H:4,4,21.35,99589.88,Kota Jakarta Selatan,Kebayoran Baru,Selong,Kota Jakarta Selatan_Kebayoran Baru_Selong,residential
APART_10,106.805,-6.234,CR_LFINF-DUH_H:4,1,85.41,398359.53,Kota Jakarta Selatan,Kebayoran Baru,Selong,Kota Jakarta Selatan_Kebayoran Baru_Selong,residential
APART_11,106.789,-6.201,CR_LFINF-DUH_H:5,1,736.17,4078359.27,Kota Jakarta Barat,Palmerah,Palmerah,Kota Jakarta Barat_Palmerah_Palmerah,residential
APART_12,106.828,-6.22,CR_LFINF-DUH_H:6,1,295.85,2436696.82,Kota Jakarta Selatan,Setia Budi,Karet Kuningan,Kota Jakarta Selatan_Setia Budi_Karet Kuningan,residential
APART_13,106.935,-6.205,CR_LFINF-DUH_H:6,1,1992.18,10923123.68,Kota Jakarta Timur,Cakung,Penggilingan,Kota Jakarta Timur_Cakung_Penggilingan,residential
APART_15,106.829,-6.232,CR_LFINF-DUH_H:7,1,270.27,1973827.61,Kota Jakarta Selatan,Setia Budi,Kuningan Timur,Kota Jakarta Selatan_Setia Budi_Kuningan Timur,residential
APART_21,106.719,-6.171,CR_LFINF-DUH_H:8,1,1011.55,5949420.65,Kota Jakarta Barat,Cengkareng,Duri Kosambi,Kota Jakarta Barat_Cengkareng_Duri Kosambi,residential
APART_22,106.884,-6.179,CR_LFINF-DUH_H:8,1,576.91,3263301.63,Kota Jakarta Timur,Pulo Gadung,Kayu Putih,Kota Jakarta Timur_Pulo Gadung_Kayu Putih,residential
APART_27,106.772,-6.195,CR_LDUAL-DUH_H:10,4,975.77,5848163.63,Kota Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kota Jakarta Barat_Kebon Jeruk_Kebon Jeruk,residential
APART_28,106.829,-6.192,CR_LDUAL-DUH_H:10,1,608.92,2900689.16,Kota Jakarta Pusat,Menteng,Gondangdia,Kota Jakarta Pusat_Menteng_Gondangdia,residential
APART_29,106.802,-6.253,CR_LDUAL-DUH_H:10,1,561.83,3579076.14,Kota Jakarta Selatan,Kebayoran Baru,Pulo,Kota Jakarta Selatan_Kebayoran Baru_Pulo,residential
APART_30,106.779,-6.276,CR_LDUAL-DUH_H:10,3,735.44,4140499.85,Kota Jakarta Selatan,Kebayoran Lama,Pondok Pinang,Kota Jakarta Selatan_Kebayoran Lama_Pondok Pinang,residential
APART_31,106.818,-6.263,CR_LDUAL-DUH_H:10,1,569.35,3508898.18,Kota Jakarta Selatan,Mampang Prapatan,Bangka,Kota Jakarta Selatan_Mampang Prapatan_Bangka,residential
APART_32,106.764,-6.27,CR_LDUAL-DUH_H:10,3,780.45,4608352.94,Kota Jakarta Selatan,Pesanggrahan,Bintaro,Kota Jakarta Selatan_Pesanggrahan_Bintaro,residential
APART_33,106.828,-6.22,CR_LDUAL-DUH_H:10,1,362.16,3321756.94,Kota Jakarta Selatan,Setia Budi,Karet Kuningan,Kota Jakarta Selatan_Setia Budi_Karet Kuningan,residential
APART_34,106.867,-6.235,CR_LDUAL-DUH_H:10,1,967.22,5848163.63,Kota Jakarta Timur,Jatinegara,Bidara Cina,Kota Jakarta Timur_Jatinegara_Bidara Cina,residential
APART_44,106.761,-6.168,CR_LDUAL-DUH_H:12,1,2927.79,19556469.75,Kota Jakarta Barat,Kebon Jeruk,Kedoya Utara,Kota Jakarta Barat_Kebon Jeruk_Kedoya Utara,residential
APART_45,106.761,-6.168,CR_LDUAL-DUH_H:12,1,2927.79,19556469.75,Kota Jakarta Barat,Kebon Jeruk,Kedoya Utara,Kota Jakarta Barat_Kebon Jeruk_Kedoya Utara,residential
APART_46,106.813,-6.145,CR_LDUAL-DUH_H:12,1,446.18,2933470.46,Kota Jakarta Barat,Taman Sari,Glodok,Kota Jakarta Barat_Taman Sari_Glodok,residential
APART_47,106.834,-6.166,CR_LDUAL-DUH_H:12,3,924.14,5866940.93,Kota Jakarta Pusat,Sawah Besar,Pasar Baru,Kota Jakarta Pusat_Sawah Besar_Pasar Baru,residential
APART_48,106.839,-6.176,CR_LDUAL-DUH_H:12,4,847.75,5866940.93,Kota Jakarta Pusat,Senen,Senen,Kota Jakarta Pusat_Senen_Senen,residential
APART_49,106.816,-6.185,CR_LDUAL-DUH_H:12,1,173.99,1075605.84,Kota Jakarta Pusat,Tanah Abang,Kampung Bali,Kota Jakarta Pusat_Tanah Abang_Kampung Bali,residential
APART_50,106.916,-6.204,CR_LDUAL-DUH_H:12,6,294.37,2240845.49,Kota Jakarta Timur,Cakung,Jatinegara,Kota Jakarta Timur_Cakung_Jatinegara,residential
APART_56,106.716,-6.116,CR_LDUAL-DUH_H:13,1,357.24,2491940.69,Kota Jakarta Barat,Kali Deres,Tegal Alur,Kota Jakarta Barat_Kali Deres_Tegal Alur,residential
APART_57,106.716,-6.116,CR_LDUAL-DUH_H:13,1,428.68,2990328.83,Kota Jakarta Barat,Kali Deres,Tegal Alur,Kota Jakarta Barat_Kali Deres_Tegal Alur,residential
APART_61,106.7,-6.151,CR_LDUAL-DUH_H:14,1,1100.23,7911736.2,Kota Jakarta Barat,Kali Deres,Kalideres,Kota Jakarta Barat_Kali Deres_Kalideres,residential
APART_62,106.801,-6.216,CR_LDUAL-DUH_H:14,1,132.44,1115757.67,Kota Jakarta Pusat,Tanah Abang,Gelora,Kota Jakarta Pusat_Tanah Abang_Gelora,residential
APART_66,106.754,-6.142,CR_LDUAL-DUH_H:15,1,1057.77,32202191.31,Kota Jakarta Barat,Cengkareng,Kapuk,Kota Jakarta Barat_Cengkareng_Kapuk,residential
APART_67,106.834,-6.201,CR_LDUAL-DUH_H:15,4,476.09,20663072.76,Kota Jakarta Pusat,Menteng,Menteng,Kota Jakarta Pusat_Menteng_Menteng,residential
APART_68,106.797,-6.291,CR_LDUAL-DUH_H:15,2,626.81,17442853.63,Kota Jakarta Selatan,Cilandak,Cilandak Barat,Kota Jakarta Selatan_Cilandak_Cilandak Barat,residential
APART_69,106.797,-6.291,CR_LDUAL-DUH_H:15,2,380.7,10573052.81,Kota Jakarta Selatan,Cilandak,Cilandak Barat,Kota Jakarta Selatan_Cilandak_Cilandak Barat,residential
APART_70,106.831,-6.288,CR_LDUAL-DUH_H:15,2,1954.68,17890106.29,Kota Jakarta Selatan,Pasar Minggu,Jati Padang,Kota Jakarta Selatan_Pasar Minggu_Jati Padang,residential
APART_71,106.831,-6.288,CR_LDUAL-DUH_H:15,1,1954.68,53670318.86,Kota Jakarta Selatan,Pasar Minggu,Jati Padang,Kota Jakarta Selatan_Pasar Minggu_Jati Padang,residential
APART_72,106.833,-6.207,CR_LDUAL-DUH_H:15,1,1888.2,53670318.86,Kota Jakarta Selatan,Setia Budi,Guntur,Kota Jakarta Selatan_Setia Budi_Guntur,residential
APART_73,106.829,-6.232,CR_LDUAL-DUH_H:15,1,1559.24,56353834.8,Kota Jakarta Selatan,Setia Budi,Kuningan Timur,Kota Jakarta Selatan_Setia Budi_Kuningan Timur,residential
APART_74,106.894,-6.329,CR_LDUAL-DUH_H:15,2,2095.7,17890106.29,Kota Jakarta Timur,Cipayung,Cipayung,Kota Jakarta Timur_Cipayung_Cipayung,residential
APART_75,106.8,-6.122,CR_LDUAL-DUH_H:15,1,1630.3,17890106.29,Kota Jakarta Utara,Penjaringan,Penjaringan,Kota Jakarta Utara_Penjaringan_Penjaringan,residential
APART_76,106.877,-6.151,CR_LDUAL-DUH_H:15,2,344.07,9660657.39,Kota Jakarta Utara,Tanjung Priok,Sunter Jaya,Kota Jakarta Utara_Tanjung Priok_Sunter Jaya,residential
APART_80,106.702,-6.133,CR_LDUAL-DUH_H:16,1,2964.66,13881710.98,Kota Jakarta Barat,Kali Deres,Pegadungan,Kota Jakarta Barat_Kali Deres_Pegadungan,residential
APART_81,106.702,-6.133,CR_LDUAL-DUH_H:16,1,1472.64,13790980.84,Kota Jakarta Barat,Kali Deres,Pegadungan,Kota Jakarta Barat_Kali Deres_Pegadungan,residential
APART_82,106.769,-6.209,CR_LDUAL-DUH_H:16,2,1545.87,19307373.18,Kota Jakarta Barat,Kebon Jeruk,Kelapa Dua,Kota Jakarta Barat_Kebon Jeruk_Kelapa Dua,residential
APART_83,106.818,-6.145,CR_LDUAL-DUH_H:16,1,514.66,31356335.39,Kota Jakarta Barat,Taman Sari,Mangga Besar,Kota Jakarta Barat_Taman Sari_Mangga Besar,residential
APART_84,106.817,-6.207,CR_LDUAL-DUH_H:16,1,814.97,55309091.59,Kota Jakarta Pusat,Tanah Abang,Karet Tengsin,Kota Jakarta Pusat_Tanah Abang_Karet Tengsin,residential
APART_85,106.841,-6.248,CR_LDUAL-DUH_H:16,1,2121.21,60970652.15,Kota Jakarta Selatan,Pancoran,Pancoran,Kota Jakarta Selatan_Pancoran_Pancoran,residential
APART_86,106.8,-6.122,CR_LDUAL-DUH_H:16,1,3417.11,53247702.87,Kota Jakarta Utara,Penjaringan,Penjaringan,Kota Jakarta Utara_Penjaringan_Penjaringan,residential
APART_87,106.871,-6.129,CR_LDUAL-DUH_H:16,2,1201.53,34840372.65,Kota Jakarta Utara,Tanjung Priok,Papango,Kota Jakarta Utara_Tanjung Priok_Papango,residential
APART_90,106.83,-6.185,CR_LDUAL-DUH_H:17,1,2093.76,57117503.48,Kota Jakarta Pusat,Menteng,Kebon Sirih,Kota Jakarta Pusat_Menteng_Kebon Sirih,residential
APART_91,106.787,-6.217,CR_LDUAL-DUH_H:17,1,466.96,13452384.99,Kota Jakarta Selatan,Kebayoran Lama,Grogol Utara,Kota Jakarta Selatan_Kebayoran Lama_Grogol Utara,residential
APART_92,106.818,-6.263,CR_LDUAL-DUH_H:17,1,212.56,12349730.48,Kota Jakarta Selatan,Mampang Prapatan,Bangka,Kota Jakarta Selatan_Mampang Prapatan_Bangka,residential
APART_93,106.829,-6.232,CR_LDUAL-DUH_H:17,1,890.99,33079635.22,Kota Jakarta Selatan,Setia Budi,Kuningan Timur,Kota Jakarta Selatan_Setia Budi_Kuningan Timur,residential
APART_100,106.743,-6.172,CR_LDUAL-DUH_H:18,1,2751.83,78055947.38,Kota Jakarta Barat,Kembangan,Kembangan Utara,Kota Jakarta Barat_Kembangan_Kembangan Utara,residential
APART_101,106.822,-6.156,CR_LDUAL-DUH_H:18,1,862.91,30107293.99,Kota Jakarta Barat,Taman Sari,Maphar,Kota Jakarta Barat_Taman Sari_Maphar,residential
APART_102,106.824,-6.164,CR_LDUAL-DUH_H:18,2,289.79,8920679.7,Kota Jakarta Pusat,Gambir,Kebon Kelapa,Kota Jakarta Pusat_Gambir_Kebon Kelapa,residential
APART_103,106.828,-6.142,CR_LDUAL-DUH_H:18,2,874.39,27877124.07,Kota Jakarta Pusat,Sawah Besar,Mangga Dua Selatan,Kota Jakarta Pusat_Sawah Besar_Mangga Dua Selatan,residential
APART_104,106.847,-6.194,CR_LDUAL-DUH_H:18,2,1419.19,41815686.1,Kota Jakarta Pusat,Senen,Kenari,Kota Jakarta Pusat_Senen_Kenari,residential
APART_105,106.84,-6.183,CR_LDUAL-DUH_H:18,1,901.57,25312428.65,Kota Jakarta Pusat,Senen,Kwitang,Kota Jakarta Pusat_Senen_Kwitang,residential
APART_106,106.809,-6.209,CR_LDUAL-DUH_H:18,3,1041.21,35905735.8,Kota Jakarta Pusat,Tanah Abang,Bendungan Hilir,Kota Jakarta Pusat_Tanah Abang_Bendungan Hilir,residential
APART_107,106.797,-6.291,CR_LDUAL-DUH_H:18,1,369.17,10704815.64,Kota Jakarta Selatan,Cilandak,Cilandak Barat,Kota Jakarta Selatan_Cilandak_Cilandak Barat,residential
APART_108,106.837,-6.326,CR_LDUAL-DUH_H:18,1,1946.02,55754248.13,Kota Jakarta Selatan,Jagakarsa,Lenteng Agung,Kota Jakarta Selatan_Jagakarsa_Lenteng Agung,residential
APART_109,106.837,-6.326,CR_LDUAL-DUH_H:18,1,1946.02,55754248.13,Kota Jakarta Selatan,Jagakarsa,Lenteng Agung,Kota Jakarta Selatan_Jagakarsa_Lenteng Agung,residential
APART_110,106.837,-6.326,CR_LDUAL-DUH_H:18,1,1946.02,55754248.13,Kota Jakarta Selatan,Jagakarsa,Lenteng Agung,Kota Jakarta Selatan_Jagakarsa_Lenteng Agung,residential
APART_111,106.841,-6.248,CR_LDUAL-DUH_H:18,1,424.24,12488951.58,Kota Jakarta Selatan,Pancoran,Pancoran,Kota Jakarta Selatan_Pancoran_Pancoran,residential
APART_112,106.855,-6.258,CR_LDUAL-DUH_H:18,5,793.1,22301699.25,Kota Jakarta Selatan,Pancoran,Rawajati,Kota Jakarta Selatan_Pancoran_Rawajati,residential
APART_113,106.827,-6.214,CR_LDUAL-DUH_H:18,4,263.38,11150849.63,Kota Jakarta Selatan,Setia Budi,Karet,Kota Jakarta Selatan_Setia Budi_Karet,residential
APART_114,106.841,-6.231,CR_LDUAL-DUH_H:18,3,598.6,17544003.41,Kota Jakarta Selatan,Tebet,Menteng Dalam,Kota Jakarta Selatan_Tebet_Menteng Dalam,residential
APART_115,106.953,-6.205,CR_LDUAL-DUH_H:18,7,1692.67,49063738.35,Kota Jakarta Timur,Cakung,Pulo Gebang,Kota Jakarta Timur_Cakung_Pulo Gebang,residential
APART_125,106.719,-6.171,CR_LDUAL-DUH_H:19,1,4340.62,60470752.85,Kota Jakarta Barat,Cengkareng,Duri Kosambi,Kota Jakarta Barat_Cengkareng_Duri Kosambi,residential
APART_126,106.817,-6.248,CR_LDUAL-DUH_H:19,2,1768.62,50592611.24,Kota Jakarta Selatan,Mampang Prapatan,Pela Mampang,Kota Jakarta Selatan_Mampang Prapatan_Pela Mampang,residential
APART_127,106.759,-6.256,CR_LDUAL-DUH_H:19,2,2060.14,56339210.73,Kota Jakarta Selatan,Pesanggrahan,Pesanggrahan,Kota Jakarta Selatan_Pesanggrahan_Pesanggrahan,residential
